aX,aY,aZ,gX,gY,gZ
0.41,-3.09,7.8,-6.91,36.28,-11.43
0.74,-2.94,8.16,1.93,36.28,-3.45
0.57,-2.51,8.87,5.65,22.25,8.08
0.27,-2.44,8.61,7.91,6.52,17.35
-0.1,-2.28,8.6,8.09,12.86,10.82
-0.13,-2.05,8.9,3.15,31.95,1.55
-0.31,-2.36,8.8,-1.42,31.04,2.35
-0.47,-2.61,8.51,4.8,17.13,8.14
-0.28,-2.53,8.9,6.08,10.79,11.13
-0.35,-2.36,9.17,4.43,16.77,9.05
-0.4,-2.21,9.02,-2.88,28.78,0.76
-0.38,-2.42,8.87,-4.22,34.21,-3.26
-0.32,-2.49,8.8,-5.2,31.83,-3.75
-0.4,-2.36,8.83,-2.88,20.55,1.37
-0.39,-2.43,8.97,3.76,13.47,6.8
-0.37,-2.24,9.05,-0.14,23.84,1.61
-0.65,-2.23,8.92,-2.09,30.85,-6.37
1.15,-9.58,8.92,36.02,47.56,-2.96
-0.85,-2.47,8.85,2.85,33.11,-8.02
-0.84,-2.16,8.69,0.23,30.18,-10.46
-0.94,-2.18,8.77,-3,29.14,-11.8
-0.87,-2.33,8.76,-5.14,26.46,-11.07
-0.89,-2.35,8.97,-7.09,23.96,-11.19
-0.88,-2.42,8.96,-8.55,21.89,-12.35
-0.77,-2.29,8.68,-12.33,19.45,-15.34
-0.54,-2.12,8.65,-6.85,19.82,-9.97
-0.28,-1.96,8.55,-3.49,19.94,-1.92
-0.88,-2.14,8.96,-3.92,18.72,1.55
-0.77,-2.21,8.94,-6.24,20.3,-0.64
0.71,-1.54,9.63,-2.52,33.47,3.2
-0.29,-2.18,8.44,-5.32,30.06,-3.57
-0.61,-2.53,8.96,-2.88,26.22,-3.14
-0.81,-2.56,8.53,-1.72,26.4,-5.4
-0.66,-2.26,8.46,0.1,23.9,-4.3
-0.73,-2.68,8.49,1.39,26.4,-3.51
-0.76,-2.72,8.14,-0.02,28.35,-4.73
-0.54,-3.06,7.91,4.31,31.46,-4.12
-0.71,-3.51,8.13,7.12,28.47,-1.19
-0.93,-3.74,8.16,7.73,18.11,2.77
-0.92,-4.32,8.35,7.54,12.62,5.27
-1.27,-5.04,8.55,1.45,20.49,7.29
-2.11,-5.85,8.32,-9.04,34.14,2.65
-2.48,-7.14,7.81,-18.43,44.27,-5.76
-2.34,-8.1,7.54,-25.26,51.28,-8.63
-2.25,-8.86,7.1,-25.81,64.39,-11.5
-2.6,-8.94,7.37,-25.02,68.78,-8.87
-3.39,-9.3,7.56,-25.69,53.66,-8.32
-3.36,-9.47,7.48,-27.33,47.86,-17.47
-2.62,-9.24,7.64,-28.8,63.96,-26.01
-2.31,-8.84,7.92,-29.35,102.44,-28.2
-3.48,-8.57,8.05,-32.21,97.13,-25.52
-4.26,-7.76,7.95,-36.05,52.44,-23.75
-3.66,-6.58,7.78,-41.97,15,-25.28
-1.63,-5.17,8.28,-49.22,58.6,-46.37
-0.64,-4.48,8.7,-57.7,107.31,-39.18
-2.54,-4.02,7.73,-55.69,73.84,-5.58
-4.8,-2.47,7.06,-37.94,-32.44,10.4
-3.34,-1.76,5.81,-1.54,-70.67,-22.53
0.98,0.02,7.26,28.28,62.07,-70.82
1.83,1.45,9.18,30.53,223.23,-61.74
-1.54,1.58,8.35,28.7,214.94,-25.34
-3.61,3.06,5.82,58.88,69.39,-0.82
-3.13,4.56,5.93,76.81,-65.24,6.49
1.12,5.98,7.9,106.75,-27.14,-3.32
1.85,6.3,11.27,114.8,109.08,15.94
-1.86,6.08,12.43,99.68,125.12,28.87
-4.31,5.62,11.61,82.85,32.93,1.19
-1.22,6.29,10.41,60.78,-11.89,-12.35
1.42,3.16,8.96,44.68,33.05,-1.43
-0.91,2.18,10.64,36.02,43.53,19.54
-3.57,1.88,12.4,1.87,-29.15,-6.5
-1.41,2.26,11.28,-21.42,-80.49,-33.63
1.7,0.58,8.18,-28.49,-14.51,-11.86
-1.03,-2.34,7.79,4.74,78.78,28.26
-2.37,0.63,7.8,7.06,84.21,30.88
-4.43,0.05,7.9,11.93,57.68,15.46
-3.93,1.19,8.96,7.3,19.88,6.07
-3.13,0.28,9.17,-4.29,7.8,2.22
-2.45,-0.14,9.48,1.51,17.13,0.7
-2.09,-0.06,10.44,-0.57,36.16,5.64
-2.39,0.18,10.34,-3.43,50.97,11.55
-3.18,0.24,10.43,-9.83,45.12,11.13
-3.16,0.52,10.03,-10.63,46.46,1
-2.79,0.86,9.8,-5.93,54.27,-8.14
-3.01,0.75,10.12,12.24,51.22,-26.19
-2.8,1.6,10.25,25.53,34.75,-42.04
-1.86,2.57,10.13,33.46,18.17,-46.56
-0.57,3.51,10.31,40.47,8.9,-42.17
0.41,4.74,10.51,28.58,14.82,-24.67
-0.14,5.56,10.62,19.07,41.28,-2.78
-1.1,6.78,10.85,-3.31,73.41,-4.91
-1.86,8.16,10.48,-53.19,73.6,-12.23
-1.34,6.72,9.37,-78.74,51.95,-13.2
-0.91,5.45,8.93,-93.61,23.54,3.87
-1.18,4.84,7.98,-98.37,4.51,26.49
-1.37,3.14,7.54,-95.26,-3.78,26.13
-1.29,2.11,7.76,-86.72,-11.83,29.91
-0.65,2.86,8.05,-87.52,-21.83,45.21
-1.99,2.01,7.39,-88.92,-51.89,73.5
-2.68,0.5,7.42,-82.15,-63.9,65.58
-1.33,-2.61,6.62,-77.27,-35.73,54.78
-0.54,-3.66,7.08,-64.22,2.44,50.15
-1.33,-4.16,5.97,-55.2,0.97,58.14
-3.72,-4.97,7.02,-35.69,-12.81,73.87
-5.71,-5.78,6.08,-31.72,10.73,56.13
-6.49,-6.61,5.57,-14.89,18.72,24.54
-5.12,-6.83,6.26,-5.02,-11.22,10.46
-2.9,-7.97,6.1,4.62,-44.39,18.81
-1.78,-7.75,6.99,17.06,-57.87,33.14
-2.48,-6.91,8.59,27.06,-39.7,27.47
-2.55,-5.96,7.92,24.49,-10.31,13.32
-2.8,-7.17,8.41,35.29,6.95,4.54
-2.4,-6.55,8.55,30.29,-9.64,10.27
-1.69,-6.3,8.71,26.32,-16.95,18.5
-1.48,-5.75,8.88,19.49,-15.79,25.21
-1.86,-5.23,8.64,21.02,10.06,22.71
-2.44,-4.79,8.7,13.09,40,10.7
-3.66,-4.4,8.62,2.54,44.69,2.29
-3.08,-4.83,7.8,-2.46,23.6,-1.13
-2.37,-5.09,7.28,6.26,0.85,0.21
-1.44,-4.02,7.34,9.86,10.97,-0.76
-1.27,-3.63,7.44,6.14,34.82,-9.3
-1.52,-3.2,7.52,5.17,39.45,-14.79
-1.32,-3.15,7.87,7.18,32.56,-15.34
-1.07,-2.67,8.09,10.65,15.49,-10.82
-0.61,-2.21,8.71,13.52,1.22,-4.06
-0.22,-2.14,9.01,11.32,16.28,-8.2
-0.14,-1.47,9.42,4.37,35.3,-11.5
-0.75,-1.97,9.36,-0.69,37.56,-12.71
-1.04,-1.79,9.48,-4.65,18.66,-11.92
-0.35,-1.93,9.02,-3.92,8.84,-10.28
-0.12,-1.53,9.48,-3.68,15.61,-11.86
0.04,-1.28,9.68,-9.16,30.36,-14.91
-0.18,-1.51,9.27,-10.32,35.91,-13.57
-0.26,-1.53,9.3,-6.3,32.01,-6.13
-0.66,-1.49,9.19,-8.43,16.28,-2.04
-0.18,-1.32,9.06,-11.11,15,-3.93
0.01,-1.63,8.76,-13.55,23.54,-5.76
-0.05,-1.49,8.77,-9.77,36.77,-5.76
-0.28,-1.77,8.52,-7.82,46.16,-7.65
-0.71,-1.54,8.89,-7.15,32.07,-3.63
-0.47,-1.69,8.81,-0.57,18.9,-0.82
0.07,-1.47,8.93,-3.07,24.69,-2.78
0.26,-1.29,9.19,-5.02,42.07,-4.06
-0.13,-1.48,8.87,-6.97,47.07,-3.57
-0.79,-1.47,8.92,-5.87,37.32,-0.4
-1.07,-1.56,8.91,-4.16,20.55,-1.43
-0.58,-1.68,8.81,-4.29,16.77,-3.26
-0.18,-1.42,9.21,-6.36,28.96,-7.53
-0.07,-1.4,9.14,-8.55,37.07,-8.93
-0.31,-1.42,8.99,-10.69,35.24,-6.98
-0.5,-1.73,8.62,-10.26,28.84,-6.8
-0.31,-1.47,8.9,-6.3,22.93,-4.06
-0.2,-1.49,8.84,-5.81,23.78,-5.52
-0.1,-1.43,9.05,-7.09,29.33,-6.5
-0.2,-1.58,9.07,-7.64,35.18,-6.5
-0.49,-1.74,8.79,-8.74,37.44,-7.71
-2.18,-1.59,8.65,-0.87,38.66,-13.69
-1.16,-2.02,8.76,1.63,32.68,-12.96
-1.27,-1.63,8.89,2.12,26.83,-9.48
-1.11,-1.46,8.97,0.59,25.12,-10.64
-0.88,-1.38,9.03,-3.86,27.44,-12.41
-0.86,-1.58,8.81,-11.24,26.4,-8.32
-0.82,-2.01,8.37,-9.41,25,-6.74
-0.79,-2.08,8.32,-9.04,21.52,-2.53
-1.07,-1.8,8.84,-6.72,19.27,-3.39
-1.17,-1.25,9.16,-8.92,16.64,-8.63
0.63,-0.4,8.22,-6.3,27.86,-3.02
-0.19,-2.07,8.09,-8,26.58,-3.81
-0.73,-2.37,8.61,-3.92,24.51,0.33
-1.01,-2.95,8.17,-1.54,26.04,-1.07
-1.17,-3.26,7.94,0.47,30.12,-2.78
-1.59,-3.84,7.95,0.78,36.95,-3.57
-2.57,-4.27,7.82,2.12,41.89,-5.28
-2.96,-5.22,8.48,-4.04,44.88,-6.8
-2.92,-6.78,8.37,-17.33,52.13,-12.9
-2.91,-7.92,8.37,-27.03,75.55,-23.75
-3.28,-7.91,8.15,-29.77,91.77,-29.73
-3.95,-7.81,8.23,-29.96,92.68,-28.93
-4.13,-8.16,9.22,-30.02,71.28,-26.01
-3.61,-8.25,9.57,-32.64,64.57,-28.69
-3.18,-7.79,10.2,-39.59,75.36,-33.57
-3.17,-7.42,10.67,-52.46,75.61,-33.81
-2.98,-7.4,10.47,-67.88,64.08,-26.68
-3.05,-8.15,9.25,-66.91,63.35,-29.85
-2.56,-7.88,8.4,-49.83,35.91,-22.29
-1.95,-7.7,7.53,-31.48,-7.56,2.16
-1.26,-6.8,7.14,-16.97,-23.72,21.37
-1.54,-4.54,7.97,-25.02,-7.14,14.48
-1.85,-3.14,7.35,-51.91,36.28,-10.7
-1.83,-3.09,4.52,-55.99,68.66,-36.43
-1.34,-2.6,2.85,-22.33,51.4,-29.91
-0.62,-1.84,3.62,17.3,-24.15,-9.79
0.82,1.96,5.63,56.75,-26.83,-6.74
0.66,4.45,7.2,58.34,51.1,-18.39
-0.45,6.45,6.89,58.95,75.73,-12.47
-1.13,5.09,6.29,64.07,31.16,8.02
-2.71,8.88,5.51,99.8,6.95,17.35
-1.09,7.84,8.94,120.65,27.93,-4.36
-0.47,8.1,11.12,120.9,70.06,-18.51
-1.24,8.38,14.43,92.97,50.36,-20.21
-1.18,4.18,14.34,44.92,-29.03,-31.25
0.34,0.93,13.13,6.14,-64.76,-33.08
1.71,0.49,12.26,-6.85,-41.28,-28.75
2.27,1.07,10.83,-9.41,12.5,-21.19
1.61,0.69,9.58,-22.03,51.89,12.77
-0.72,-0.19,9.31,-16.18,65.3,34.36
-2.44,-0.47,8.47,-6.97,75.42,31.43
-3.34,0,8.74,3.28,72.44,10.88
-2.79,-0.14,8.86,6.69,46.52,-6.5
-1.5,-0.13,8.76,2.91,32.93,-3.57
-1.05,0,9.2,-3,43.29,10.4
-1.4,-0.66,9.34,-6.54,56.03,18.02
-2.46,-0.53,9.24,-2.33,62.68,17.16
-2.98,-0.64,8.75,-0.32,57.86,6.61
-3.11,-1.17,8.21,3.76,39.14,-6.13
-2.76,-0.57,8.12,8.7,35.85,-8.81
-2.01,0.05,9.04,-5.26,37.38,0.09
-1.92,-0.82,8.73,-13.74,40.12,3.81
-1.7,-0.59,8.59,-8,47.56,2.41
-1.93,-0.66,8.42,-6.42,57.01,-1.92
-2.28,-0.67,8.36,1.75,61.22,0.46
-2.57,-0.35,8.53,-0.87,51.89,2.47
-2.77,0.11,8.49,-8.92,37.44,7.35
-2.82,-0.38,8.37,-12.58,32.01,-0.03
-2.31,-0.42,8.26,-11.24,37.68,-4.24
-2.08,-0.98,7.77,-5.44,45.73,-2.29
-2.31,-1.19,7.57,6.51,56.71,0.82
-3.24,-1.26,7.98,15.71,54.63,0.64
-3.66,-0.62,8.9,16.02,45.3,-5.21
-3.45,-0.07,9.44,4.8,38.96,-8.87
-2.99,-0.41,9.74,-12.64,27.74,-6.56
-2.57,-0.77,8.95,-15.93,24.88,-6.43
-2.18,-0.78,8.76,-12.58,36.28,-6.56
-2.19,-0.13,8.93,-2.09,52.07,-9.97
-2.87,0.7,9.51,3.58,53.17,-18.87
-3.15,2.63,12.13,-26.11,15.97,-18.14
-1.69,3.35,12.45,-66.78,-21.34,-17.78
0.45,3.26,10.01,-73.31,10.67,-14.79
1.44,2.41,9.88,-47.39,61.77,-26.49
0.96,1.89,8.57,-4.83,96.16,-29.67
-1.06,2.96,9.01,17.24,71.28,-11.31
-2.02,5.38,9.61,20.35,26.28,8.2
-2.72,6.84,9.28,7.48,20.79,9.11
-2.67,5.46,9.32,-25.87,33.84,-9.12
-1.44,3.25,8.98,-49.59,46.58,-17.04
-1.47,2.56,9.31,-57.88,29.88,4.42
-2.78,3.08,9,-65.44,-12.07,25.82
-4.1,3.55,8.78,-71.36,-49.51,35.46
-3.42,1.15,8.26,-85.2,-44.57,21.98
-0.96,-1.23,7.99,-82.52,-0.79,8.63
-0.87,-2.09,8.53,-88.98,8.66,28.99
-3.64,-1.35,8.17,-86.42,-14.45,47.47
-5.36,-1.62,7.25,-77.88,-31.89,31.61
