aX,aY,aZ,gX,gY,gZ
-1.27,-1.9,9.75,-89.42,10.17,-8.46
-1.04,-1.93,10.09,-92.95,12.91,-6.75
-1.09,-1.82,10.65,-99.11,17.3,-2.91
-1.1,-2.17,10.28,-112.04,28.95,-5.84
-0.97,-2.62,9.99,-116.31,36.75,-7.06
-1.38,-2.4,10.85,-120.21,25.35,-3.4
-1.45,-2.29,11.26,-130.57,17.3,-0.72
-1.5,-2.31,11.25,-142.34,22.12,0.01
-1.36,-3.11,9.93,-154.72,33.76,-3.4
-1.66,-2.89,9.32,-164.66,39.86,-5.05
-1.49,-3.37,7.82,-172.22,50.29,-13.28
-1.06,-3.81,6.98,-175.88,49.74,-13.58
-1.15,-4.04,5.62,-175.57,44.43,-8.7
-0.9,-4.45,4.7,-174.05,46.75,-4.5
-1.37,-4.46,4.51,-170.57,48.58,-2.61
-1.07,-4.79,2.77,-173.07,53.34,-6.69
-1.47,-5.27,1.88,-164.23,48.64,-9.44
-1.62,-5.66,1.24,-154.23,42.36,-8.28
-1.53,-6.19,0.32,-147.65,40.29,-5.11
-1.87,-6.61,-0.35,-136.79,31.87,-1.63
-2.16,-7.05,-0.94,-122.53,25.78,-5.05
-2.01,-7.3,-1.29,-109.72,14.25,-9.19
-1.55,-7.66,-1.53,-101.79,-2.64,-6.33
-1.29,-8.3,-2.42,-92.1,-14.89,-1.39
-1.27,-8.65,-2.61,-74.78,-7.76,3.92
-0.44,-9.1,-2.87,-63.99,13.09,2.64
-1.6,-8.76,-2.65,-43.08,4.74,14.4
-2.59,-9.14,-1.66,-32.59,2.48,10.93
-2.86,-9.33,-0.52,-17.89,-11.17,9.04
-2.8,-8.99,0.28,-7.77,-25.32,10.2
-2.65,-8.85,0.66,-11.37,-27.64,10.26
-2.5,-9.13,0.4,-6.55,-14.71,8.86
-2.55,-9.34,0.16,-6.31,-2.64,8.8
-2.77,-9.52,-0.16,0.7,-0.56,10.08
-2.9,-9.46,-0.05,10.28,-6.6,11.6
-3.11,-9.34,-0.1,13.75,-8.74,12.15
-3.57,-9.34,-0.31,18.27,-10.14,10.14
-4.15,-9.43,-0.11,24.91,-18.8,9.83
-4.23,-9.19,-0.09,33.14,-32.15,6.54
-3.98,-9.22,-0.37,39.36,-34.04,2.51
-3.82,-9.17,-0.23,48.2,-31.42,-3.95
-3.54,-8.86,-0.25,51.01,-32.64,-9.62
-3.09,-8.93,-0.72,55.09,-39.04,-11.51
-3.02,-8.78,-0.73,66.44,-47.52,-8.77
-2.78,-8.67,-0.3,79.3,-52.7,-9.07
-2.15,-8.48,0.54,88.08,-42.82,-8.64
-2.07,-8.04,1.26,89.73,-31.97,-9.5
-1.73,-7.83,1.44,86.68,-24.53,-9.19
-1.87,-7.86,1.14,89.79,-29.34,-5.29
-1.74,-7.9,0.5,97.59,-47.58,-1.94
-1.01,-7.62,0.92,110.58,-46.54,-0.05
-1.02,-6.84,2.21,121.56,-28.67,6.48
-1.45,-6.23,3.14,123.69,-14.89,7.03
-1.95,-5.7,4.17,121.13,-3.37,1.84
-2.17,-5.79,3.95,117.29,-8.06,1.05
-2.25,-5.79,3.65,119.67,-29.16,1.66
-1.45,-5.47,3.7,126.68,-28.31,1.54
-1.16,-4.92,4.39,135.89,-12.88,0.99
-1.57,-3.8,6.12,131.68,4.68,-4.13
-2,-3.67,6.44,118.69,-0.44,-5.96
-2.23,-3.94,5.51,108.87,-32.27,-7.73
-1.45,-4.15,5.14,116.74,-37.94,-16.39
-0.23,-3.69,4.94,128.02,0.84,-16.2
-0.62,-3.28,5.5,139.12,32.73,-7.73
-3.12,-2.08,7.9,148.81,-26.24,1.97
-3.83,-1.4,8.04,144.48,-141.36,-1.33
0.16,-1.73,8.86,147.35,-103,-23.52
2.14,-1.39,10.12,139.48,40.04,-16.75
-0.54,-1.73,10.04,133.51,70.17,-0.23
-2.69,-1.82,9.27,129.67,-17.27,12.33
-3.87,-1.12,9.2,134.61,-158.98,5.56
0.41,-0.85,10.11,137.17,-131.9,-21.39
2.05,-0.23,11.93,128.39,5.41,-23.7
-0.04,-0.28,12.34,104.85,54.31,-7.06
-1.63,-0.93,10.93,101.44,15.35,3.12
-2.03,-0.83,9.82,107.29,-51.17,9.59
-1.07,0.34,11.05,106.44,-74.77,0.93
0.33,0.85,12.51,87.96,-12.33,-11.69
-0.09,0.73,12.81,71.01,31.94,-9.19
-1.2,0.23,12.2,61.07,13.52,-2.79
-1.54,0.28,11.58,60.4,-30.44,0.44
-0.5,0.77,11.52,60.7,-39.1,-2.06
0.35,1.04,12.01,46.62,10.23,-1.88
-0.14,0.67,12.04,41.31,46.02,-2.67
-0.89,0.73,11.34,28.39,27.48,2.58
-1.35,0.57,10.85,21.62,-4.47,5.87
-0.86,0.94,10.63,22.17,-9.28,2.39
-0.49,1.07,10.81,16.92,13.58,0.26
-0.59,0.98,10.6,13.57,29.68,-0.53
-1.14,1.06,10.22,9.12,20.9,0.87
-2.63,0.16,8.11,4.73,5.41,1.78
-1.32,0.42,9.05,7.17,9.37,7.39
-1.22,0.54,8.93,4.85,5.96,7.76
-1.27,0.48,8.82,1.86,0.47,5.87
-1,0.49,8.9,-2.53,-1.6,5.93
-1.13,0.53,9.01,-6.86,-0.87,6.66
-1.41,0.37,8.89,-8.26,-2.88,1.6
-1.69,0.19,9,-4.72,-10.26,-9.44
-1.67,0.51,8.9,-1.67,-20.02,-17
-1.26,0.9,8.81,-1.86,-23.06,-15.53
-0.99,0.73,8.83,-2.65,-18.06,-3.83
-5.22,15.25,12.72,-88.2,-15.93,-13.7
-1.34,0.31,9.09,-8.44,-5.44,-2.91
-1.37,0.49,9.16,-5.88,0.35,-5.78
-1.24,0.38,9.24,-3.81,-3.55,-8.4
-1.04,0.53,9.17,-2.71,-4.41,-8.46
-1.15,0.63,9.42,-1.61,-0.93,-6.51
-1.33,0.85,9.91,-2.04,-2.94,-5.23
-1.32,0.79,10.18,-7.04,-7.33,-6.02
-1.11,0.61,10.44,-12.04,-4.71,-5.11
-1.05,0.46,10.24,-16.43,1.02,-5.78
-1.22,0.37,9.93,-20.33,3.03,-6.81
-1.36,0.2,10.13,-21.25,0.29,-8.1
-1.28,0.35,10.35,-24.72,-4.77,-8.52
-1.2,0.23,10.71,-27.4,-4.1,-8.03
-1.13,0.37,11.11,-35.76,1.14,-7.3
-1.08,0.36,11.35,-44.29,8.52,-6.39
-1.04,0.28,11.32,-52.28,14.56,-5.9
-1.28,-0.01,11.29,-56.67,14.37,-5.53
-1.53,-0.02,11.6,-61.67,6.02,-5.84
-1.59,0.35,12.61,-68.81,-2.27,-5.9
-1.62,0.42,12.88,-80.94,-0.69,-7.49
-1.51,0.06,12.71,-92.89,0.35,-10.41
-1.1,-0.53,11.75,-104.42,12.48,-13.83
-0.74,-0.86,11.19,-110.21,27.67,-11.57
-1.24,-0.83,11.32,-114.72,21.45,-5.96
-1.38,-1.03,11.45,-120.57,10.78,-1.75
-1.43,-1.09,11.04,-129.17,12.12,-1.45
-1.31,-1.39,10.73,-136.31,24.01,-4.19
-1.22,-1.43,10.43,-147.04,35.96,-6.45
-0.99,-1.97,9.3,-158.32,48.52,-9.86
-1.26,-2.45,8.13,-161.43,51.2,-8.4
-0.86,-3.24,6.16,-161.85,44.98,-11.94
-1.08,-3.24,5.64,-156.49,35.29,-11.27
-0.9,-3.16,6.01,-154.66,46.26,-10.66
-0.87,-3.62,6.17,-151.55,51.2,-6.33
-1.2,-4.02,5.42,-154.17,50.47,-1.39
-1.41,-4.3,4.62,-150.39,45.41,-1.88
-1.62,-4.74,4.14,-150.15,44.56,-5.66
-1.49,-5.02,3.21,-147.22,35.29,-9.07
-1.48,-5.54,2.77,-139.78,33.83,-5.9
-1.46,-6.04,2.33,-130.88,37,-3.1
-1.65,-6.31,1.96,-121.43,37.91,-0.23
-2.24,-6.5,2.53,-113.93,34.68,-0.23
-2.4,-6.69,2.14,-110.82,30.53,-0.6
-2.32,-7.37,1.9,-104.84,29.56,-0.47
-2.8,-7.27,1.93,-100.33,16.57,-0.96
-2.82,-7.33,1.54,-97.16,-4.95,-1.69
-2.69,-7.78,1.27,-91.43,-21.24,-1.27
-2.49,-8.01,-0.1,-95.33,-23.43,-3.83
-2.34,-8.13,-0.5,-87.53,-11.3,-10.29
-2.19,-8.37,-0.64,-77.4,-3.61,-6.27
-2.42,-9,-0.91,-63.5,-5.08,1.42
-2.25,-8.89,-0.95,-59.05,-11.72,3.86
-2.39,-9.09,-0.68,-45.39,-19.71,4.53
-2.48,-9.19,-0.53,-39.23,-19.71,6.05
-2.49,-8.97,-0.19,-32.04,-4.47,5.93
-2.61,-9.04,0.14,-27.22,11.2,6.97
-2.88,-9.04,0.22,-23.93,16.87,8.92
-3.33,-9.33,0.25,-19.29,8.52,7.39
-3.23,-9.45,0.15,-13.44,-6.05,5.5
-3.07,-9.35,0.38,-7.59,-12.7,5.93
-2.98,-9.1,0.38,-3.93,-8.8,5.69
-2.92,-9.02,-0.23,-1.73,2,2.64
-2.89,-9.3,-0.52,5.22,10.72,3
-3.06,-9.5,-0.8,11.92,14.07,2.94
-3.29,-9.28,-0.99,20.83,10.05,4.59
-4.06,-9.1,-0.75,28.02,-10.5,3.8
-4.21,-9.11,-1.02,35.77,-36.11,-0.17
-3.58,-8.88,-0.94,45.7,-43.67,-7.55
-2.72,-8.88,-0.61,56.44,-32.33,-12
-2.29,-8.76,-0.54,61.01,-18.92,-11.02
-2.33,-8.7,-0.54,68.63,-15.38,-8.22
-2.86,-8.66,-0.36,80.09,-34.83,-2.55
-2.78,-8.5,0.58,91.07,-52.03,-1.88
-2.12,-7.98,1.45,92.59,-51.48,-5.72
-1.93,-7.8,2.01,89.18,-41.66,-5.9
-1.95,-7.73,1.9,88.45,-31.91,-6.69
-2.39,-7.8,2.38,95.7,-45.81,-3.77
-1.7,-7.56,2.53,96.13,-57.33,-7.12
-0.76,-7.36,3.34,97.05,-36.6,-4.01
-0.86,-6.95,3.86,95.09,-7.33,2.15
-1.86,-6.95,4.11,93.33,-6.36,7.58
-2.46,-6.77,4.07,95.52,-33.25,7.64
-2.06,-6.71,3.93,99.3,-51.05,2.51
-1.13,-6.47,4.6,105.09,-35.26,2.51
-1.52,-5.95,5.37,107.29,-17.27,6.54
-2.23,-5.6,5.84,105.64,-21.36,3.31
-2.08,-5.25,6.45,99.91,-29.59,0.69
-1.79,-5.34,6.14,90.22,-29.22,-3.03
-1.32,-5.42,5.21,88.87,-16.3,-5.05
-0.99,-5.59,4.94,98.87,2.36,-5.53
-1.68,-5.11,5.71,114.97,-10.75,2.45
-2.84,-4.04,7.14,114.55,-62.45,2.58
-1.94,-3.73,7.48,107.59,-80.44,-10.96
0.16,-3.72,7.78,101.31,-13.31,-19.92
0.01,-3.81,7.86,94.91,47.97,-13.03
-1.31,-4.19,7.21,92.9,37.06,-0.17
-2.5,-4.1,6.26,104.06,-38.06,11.78
-2.39,-3.05,6.4,107.11,-87.03,-2.85
0.41,-2.41,7.81,106.01,-9.59,-21.63
0.4,-2.4,8.71,98.2,79.92,-13.22
-2.32,-2.75,9.16,96.37,43.09,3.19
-3.17,-2.84,8.11,101.5,-59.41,15.5
-1.32,-2.3,7.88,111.19,-92.88,10.2
1.2,-1.72,8.96,111.92,9.74,2.03
-0.41,-0.87,9.59,96.07,100.96,4.22
-3.22,-1.59,9.95,88.63,54.01,7.88
-3.75,-1.66,9.05,92.17,-53.8,12.88
-2.01,-1.29,8.6,103.69,-93.37,4.53
0.46,-0.25,10.22,99.91,-0.81,-1.2
-0.94,0.25,11.53,86.56,69.43,7.7
-3.54,0,12.04,82.47,8.7,8.49
-3.35,0.07,11.29,78.33,-78,5.44
-0.91,0.41,11.61,73.51,-65.32,-4.74
0.04,0.52,12.32,64.24,21.26,-8.03
-1.43,0.92,12.66,52.35,41.39,-2
-2.24,0.28,12.68,46.86,-11.11,-1.14
-1.85,0.38,11.42,41.62,-53.67,0.32
-0.64,0.69,10.99,29.97,-37.52,-0.84
-0.15,0.82,11.4,23.69,13.83,-1.02
-1.06,0.58,11.28,12.59,32.12,1.54
-1.69,0.52,10.59,7.53,10.9,1.3
-1.4,0.46,9.83,4.61,-5.2,2.45
-1.11,0.36,9.58,6.86,-3.61,3.86
-1.06,0.44,9.68,1.01,7.73,4.28
-1.56,0.53,9.66,-1.06,9.62,4.22
-1.76,0.41,9.24,-3.08,3.89,1.9
-1.74,0.26,9,-1.37,-3.43,1.17
-1.52,0.35,8.99,-1.19,-5.99,-0.17
-1.02,-7.18,10.17,19,28.64,5.08
-1.01,0.25,9.3,1.5,31.14,12.45
-1.61,0.21,9.11,0.95,20.11,11.17
-1.7,0.05,8.88,-0.7,7.97,6.3
-1.5,0.15,8.99,-3.56,3.46,3.25
-1.51,-0.03,8.9,-5.15,0.65,-1.63
-1.72,-0.33,8.86,-2.04,-7.58,-9.68
-1.91,-0.1,9.05,-3.01,-24.28,-19.8
-1.52,0.23,8.61,-1.67,-33.74,-25.72
-0.93,0.98,8.32,-3.32,-27.64,-11.33
-0.89,0.45,8.44,-8.38,-15.32,1.48
-1.13,0.06,8.49,54.91,7.48,5.69
-0.96,0.09,9.22,2.47,-5.75,-2.24
-1.28,0.25,9.06,-2.16,-9.77,-7.24
-1.2,-0.04,9.13,1.13,-9.83,-9.62
-1.13,0.21,9.04,3.27,-7.88,-9.92
-1.13,0.32,9.15,5.4,-6.78,-6.27
-1.03,0.21,8.93,4.18,-2.7,-6.51
-1.13,0.34,9.31,4.3,1.39,-5.72
-1.19,0.31,9.64,1.86,-0.81,-5.11
-1.23,0.28,9.51,-0.94,-4.22,-6.94
-1,0.13,9.42,-2.34,-1.48,-7.42
-1.05,0.36,9.72,-5.7,-1.48,-5.9
-1.03,0.44,9.87,-10.76,-2.7,-1.88
-1.14,0.39,10.15,-12.89,-3.13,-0.9
-1.18,0.5,10.48,-15.45,-4.83,-1.08
-1.25,0.54,10.88,-17.77,-8.19,-0.53
-1.12,0.62,11.36,-26.49,-7.39,-2.55
-0.65,0.77,11.67,-39.36,5.23,-3.46
-0.65,0.58,12.21,-50.21,17.18,-0.53
-1.05,0.5,12.38,-59.72,20.11,1.11
-1.24,0.34,12.35,-68.44,15.96,1.72
-1.54,0.23,12.5,-76.98,11.39,-1.27
-1.67,0.09,12.3,-88.81,12.67,-6.27
-1.31,-0.36,11.97,-96.98,18.83,-8.16
-1.52,-0.24,12.33,-107.83,20.47,-4.68
-1.99,-0.38,12.34,-120.64,19.13,-7.91
-2.34,-0.42,12.2,-135.57,13.64,-14.74
-1.72,-1.29,10.75,-147.04,19.68,-19.99
-1.53,-2.13,9.48,-148.93,28.89,-19.07
-1.9,-1.94,9.85,-146.61,27.91,-16.51
-1.97,-2.01,9.79,-152.59,29.86,-16.75
-1.53,-2.37,9.58,-159.84,37.85,-14.62
-1.56,-2.59,8.69,-169.05,47.36,-14.5
-1.35,-2.9,7.56,-174.66,62.24,-17.24
-1.4,-3.65,6.57,-174.66,61.14,-15.41
-1.72,-3.95,5.98,-166.98,46.2,-14.13
-1.5,-4.21,5.67,-160.94,34.8,-12.42
-1.57,-4.3,5.6,-158.93,31.33,-12.18
-1.27,-4.62,4.66,-157.77,39.13,-11.02
-1.19,-4.96,3.31,-156.24,49.43,-9.31
-1.5,-5.52,2.75,-146.61,48.28,-5.05
-1.68,-5.76,2.49,-137.28,39.43,-2.24
-1.89,-5.84,2.55,-132.1,32.24,-0.96
-1.86,-6.22,1.51,-127.77,22.3,0.2
-2.12,-6.93,1.26,-119.84,14.31,-0.23
-2.3,-6.87,1.06,-112.34,7,-2.24
-1.89,-7.04,0.29,-104.54,2.55,-0.41
-1.74,-7.95,-0.26,-95.88,2.24,4.77
-2.25,-7.8,0.17,-82.04,6.08,8.43
-1.96,-8.1,0.13,-81.86,6.75,10.38
-2.3,-8.13,0.02,-71.86,4.98,8.19
-2.5,-8.56,-0.15,-68.2,-3.92,8.73
-2.59,-8.58,-0.06,-61.49,-12.58,9.53
-2.7,-8.61,0.24,-56.86,-11.05,8.49
-2.7,-8.67,0.36,-52.4,-3,8
-2.95,-8.59,0.31,-57.1,0.65,4.22
-2.7,-8.78,0.19,-54.05,0.96,4.16
-2.91,-9.07,-0.14,-46.43,-2.45,7.76
-2.83,-9.28,-0.5,-45.27,-5.63,8.43
-3.19,-9.05,-0.04,-37.77,-9.16,7.64
-3.23,-9.12,-0.15,-31.73,-8.61,4.4
-3,-9.18,0.03,-28.14,-3.31,2.82
-2.82,-9.38,0.05,-23.5,2,5.87
-3.01,-9.43,0.01,-18.32,2.24,8.49
-3.27,-9.14,-0.22,-16.73,1.69,7.45
-3.29,-9.26,-0.33,-14.11,-0.69,5.5
-3.18,-9.37,-0.76,-11.67,-2.45,4.16
-3.15,-9.36,-0.61,-4.66,-2.15,5.75
-3.17,-9.24,-0.39,-1,0.17,5.81
-3.01,-9.4,-0.41,2.17,4.44,4.22
-3.4,-9.06,-0.53,4.24,-3.61,6.54
-3.69,-9.28,-0.35,7.9,-4.89,5.08
-3.75,-9.25,-0.35,16.25,-14.04,4.22
-3.44,-9.04,-0.3,17.35,-12.15,0.26
-3.41,-9.08,-0.3,19.61,-3.86,-1.39
-3.41,-9.02,-0.59,21.92,3.15,-1.45
-3.74,-9.16,-0.82,26.99,-4.04,-2.24
-3.97,-9.21,-1.25,34.55,-26.91,-2.55
-3.59,-9.12,-1.74,44.24,-47.15,-7.55
-2.68,-8.85,-1.83,53.14,-53.92,-12.18
-1.69,-8.84,-2.22,62.47,-49.1,-11.39
-1.51,-8.74,-2.25,73.45,-48,-3.89
-2.02,-8.48,-1.74,85.52,-59.65,5.32
-2.52,-8.09,-0.96,96.74,-72.52,5.01
-2.3,-7.73,-0.23,103.51,-69.53,-0.05
-2.07,-7.56,0.6,107.23,-58.37,-1.81
-2.41,-7.49,1.39,113.39,-56.84,3.67
-2.63,-7.27,1.86,117.78,-64.71,2.09
-2.23,-6.84,2.79,123.75,-51.05,-2.85
-1.76,-6.56,3.39,116.25,-25.08,-6.27
-2.25,-6.47,3.97,116.25,-14.22,-5.47
-2.64,-6.61,3.96,116.31,-30.2,-6.94
-1.86,-6.46,4.29,120.34,-34.89,-6.08
-1.48,-5.91,4.58,118.26,-8,-5.96
-1.95,-5.47,4.99,115.89,9.92,-5.29
-2.51,-5.24,4.73,111.31,-2.82,-8.52
-2.35,-4.98,4.36,108.02,-25.69,-9.99
-1.54,-5.1,4,113.45,-36.6,-9.62
0.1,-4.9,4.21,123.69,6.02,-11.94
-0.69,-3.57,5.75,121.13,41.87,-1.2
-2.06,-3.67,5.97,112.47,21.75,4.59
-2.55,-3.36,5.73,117.47,-19.22,4.28
-1.23,-3.24,5.41,125.46,-20.5,1.17
-1.04,-2.3,7.45,129.91,17.06,-0.11
-1.55,-2.19,8.39,123.75,38.15,5.62
-2.74,-2.68,7.92,123.57,14.25,11.72
-3.07,-2.74,7.41,135.58,-32.33,14.71
-1.89,-1.77,8.78,145.76,-12.09,4.4
-1.46,-1.57,9.16,142.17,33.89,8.49
-3.24,-1.82,8.8,144.67,19.8,13.43
-4.06,-1.81,8.15,152.47,-48.61,11.3
-2.59,-0.95,8.47,160.4,-78.98,3.86
-0.78,-0.1,10.44,159.42,-27.15,0.56
-1.23,0.93,11.76,139.54,24.13,14.53
-2.82,-0.02,11.44,129.91,-0.99,21.05
-3.2,0.13,10.66,131.68,-58.92,19.95
-1.56,0.65,11.2,134.97,-51.05,13.19
-1.32,2.01,12.93,119.73,3.15,9.1
-2.56,2.01,13.3,95.95,13.64,11.97
-3.14,1.54,12.5,82.9,-21.54,10.01
-3.01,1.44,12.2,75.16,-53.86,5.56
-1.54,1.73,11.98,68.63,-28.86,2.09
-1.28,2.12,12.9,54.48,22.73,2.33
-2.4,1.82,12.77,41.07,22.67,-0.23
-2.55,1.83,11.07,42.9,-7.45,-5.29
-1.84,1.59,11.12,25.22,-25.56,-1.27
-1.28,1.4,10.88,25.95,-17.09,0.38
-1.31,1.84,10.79,16.56,7.12,5.56
-1.75,1.92,10.73,6.31,12.24,7.21
-1.28,1.32,6.9,4.3,-0.26,-5.11
-1.86,0.86,8.74,9.18,16.08,-3.22
-1.76,1.3,8.96,5.83,16.75,-2.61
-1.89,1.21,8.91,2.72,8.89,-2.42
-1.81,1.09,8.75,-0.76,-0.99,-1.27
-1.74,1.14,8.78,-3.69,-6.6,-0.78
-1.99,0.69,8.87,-3.99,-10.5,-5.6
-2.04,1.04,8.87,-3.44,-16.97,-14.38
-1.88,1.45,8.63,-2.89,-23.13,-19.99
-1.59,1.69,8.06,-6.8,-18.55,-11.94
-1.58,1.41,8.36,-13.01,-15.87,-0.72
-1.54,1.35,8.65,-19.9,-15.81,6.9
-1.62,0.94,8.82,-21.43,-11.05,7.82
-5.12,-2.23,11.31,-12.71,-16.72,12.64
-2.21,0.74,8.78,-11.92,-9.71,-0.96
-1.41,1.06,8.7,-8.62,-3.8,-2.91
-1.43,0.85,8.68,-2.22,-4.77,-1.81
-1.48,0.89,8.85,-1.8,-5.02,-1.2
-1.46,0.91,8.87,0.28,-4.35,-2.24
-1.48,0.99,9.12,-1.8,-1.91,-2.06
-1.49,1.03,9.34,-3.5,-1.72,-1.2
-1.62,0.98,9.59,-5.15,-2.76,-2.85
-1.6,1.02,9.54,-7.95,-0.2,-3.64
-1.62,1,10,-9.78,2.36,-4.5
-1.62,1.17,10.09,-13.75,1.33,-3.03
-1.79,1.12,10.55,-19.78,-5.44,-2.24
-1.8,1.02,10.59,-25.03,-10.69,-4.44
-1.59,1.06,10.96,-28.69,-8.61,-7.12
-1.64,0.91,11.24,-35.94,-5.26,-7.73
-1.75,0.95,11.27,-42.65,-4.59,-6.39
-1.72,0.61,11.08,-48.5,-6.78,-7.73
-1.82,0.77,11.29,-53.2,-8.86,-9.8
-1.61,0.56,11.47,-59.23,-1.6,-12.61
-1.64,0.56,11.95,-67.65,7.55,-13.7
-1.66,0.57,12.15,-76.55,14.8,-12.67
-2.13,0.58,12.57,-88.62,12.73,-12
-2.25,0.21,12.31,-96.25,7.79,-13.03
-2.21,0.1,12.23,-105.88,7.67,-16.88
-1.9,-0.42,11.9,-113.2,12.73,-19.44
-1.89,-0.68,11.38,-116.18,14.44,-19.5
-1.8,-0.68,11.85,-114.72,11.51,-17.24
-2.05,-0.45,12.53,-120.51,10.59,-14.92
-1.72,-0.85,11.62,-137.46,10.72,-13.89
-1.33,-1.43,9.95,-148.81,19.31,-13.7
-0.9,-1.9,9.18,-149.78,36.2,-12.67
-0.9,-2.02,8.63,-149.84,43.15,-6.81
-1.12,-1.99,7.97,-158.01,45.04,-5.11
-1.22,-2.45,7.34,-166.85,45.23,-6.45
-1.1,-2.79,6.58,-169.72,51.14,-6.08
-1.15,-3.13,5.37,-175.7,55.96,-6.51
-1.08,-3.69,4.2,-170.7,59.62,-3.83
-1.38,-4.28,3.73,-163.2,56.2,-4.07
-1.73,-4.26,3.88,-156,47.67,-0.6
-1.86,-4.67,3.28,-151.85,37.97,-2.36
-1.77,-5.09,2.91,-147.89,40.04,-4.8
-1.71,-5.53,2.96,-140.45,45.29,-3.7
-1.9,-5.77,2.63,-138.26,47.67,-3.52
-2.31,-6.18,2.09,-130.51,37.06,0.01
-2.21,-6.88,1.24,-126.98,26.33,1.6
-2.34,-6.89,1.55,-113.81,27.91,3.73
-2.9,-6.88,1.42,-113.5,28.95,-0.78
-2.97,-7.32,1.11,-111.43,28.83,-5.9
-2.74,-7.42,0.49,-111,25.9,-6.88
-2.5,-7.92,-0.06,-101.67,26.26,-7.49
-2.6,-8.24,-0.06,-91.73,21.02,-4.86
-2.85,-8.49,-0.31,-84.42,8.34,-2.24
-2.99,-8.22,-0.45,-76.92,7.18,-6.75
-2.75,-8.43,-0.29,-71.43,1.02,-6.2
-2.58,-8.64,-0.82,-68.07,0.72,-5.78
-2.53,-8.58,-0.84,-70.03,-0.93,-4.92
-2.57,-9.11,-1.01,-59.42,1.02,-2.55
-2.59,-9.26,-1.45,-49.29,-0.38,0.26
-2.57,-9.29,-1.48,-40.76,-5.08,4.22
-2.88,-9.22,-1.45,-30.76,-12.58,5.75
-2.85,-9.2,-1.41,-19.72,-10.69,7.82
-2.87,-9.11,-1.11,-15.21,-3.43,9.95
-3.05,-9.26,-1,-10.33,3.64,11.05
-3.36,-9.35,-0.82,-3.56,5.96,11.6
-3.92,-9.21,-0.35,-0.21,1.69,11.48
-4.08,-9.03,-0.25,-0.45,-7.03,6.6
-3.8,-9.16,-0.39,-0.64,-9.77,0.26
-3.46,-9.21,-0.48,2.9,-7.58,-1.69
-3.25,-9.3,-0.17,7.72,-3.06,0.62
-3.23,-9.07,-0.23,7.6,5.17,-0.72
-3.53,-9.04,0.15,7.41,3.7,2.51
-3.77,-9.16,-0.04,10.22,6.45,-0.66
-3.99,-9.15,0.21,11.8,-0.44,-1.63
-3.95,-9.23,-0.11,12.84,-7.09,-4.8
