aX,aY,aZ,gX,gY,gZ
-7.88,-3.83,3.24,-0.31,3.39,-4.88
-7.66,-4.22,2.93,-5.74,3.2,-0.06
-7.39,-4.27,2.97,-9.46,2.23,6.58
-7.72,-4.07,2.87,-11.1,3.08,7.56
-7.98,-4.04,2.87,-16.65,2.11,2.44
-8.08,-4.17,2.84,-20.43,1.5,-2.26
-8,-4.03,2.87,-23.18,-0.76,-5.25
-8.06,-3.98,2.83,-23.97,2.53,-5.55
-7.95,-3.95,2.79,-20.31,7.53,-1.47
-8.22,-4.13,2.77,-17.32,9.42,4.63
-8.48,-4.46,2.85,-15.37,12.35,-0.92
-9.03,-4.28,2.45,-12.63,15.76,-4.88
-8.97,-4.36,2.3,-3.97,14.54,-6.53
-9.04,-4.15,2.6,-2.51,16.86,-6.53
-9.71,-4.33,2.37,-2.2,19.67,-13.17
-10.14,-4.07,2.62,-4.4,18.14,-19.15
-10.51,-4.25,2.54,-8.91,15.89,-24.03
-10.57,-4.51,2.57,-10.55,22.17,-28.78
-10.94,-4.53,2.24,-9.95,38.33,-32.38
-11.77,-4.2,2.2,-10.07,54.06,-39.33
-12.57,-3.95,1.98,-6.53,53.02,-52.87
-12.76,-3.96,1.63,-5.37,32.35,-72.68
-12.25,-3.99,1.29,-4.21,16.5,-97.93
-11.46,-3.63,1.39,-4.09,0.89,-116.1
-10.62,-3.68,1.46,-6.96,-6.67,-133.42
-9.96,-3.38,1.45,-6.29,-3.26,-144.94
-9.58,-3.42,1.45,-3.6,-0.52,-158.72
-8.95,-3.22,1.77,-3.48,-2.77,-172.13
-8.02,-3.36,1.63,-0.98,-14.36,-177.99
-7.09,-3.68,1.42,-0.31,-21.43,-182.56
-6,-3.94,1.12,5.18,-15.52,-183.17
-5.42,-4,1.25,9.63,-5.03,-183.05
-4.97,-4.4,1.54,17.74,1.07,-178.35
-4.67,-4.42,1.55,19.57,5.58,-172.2
-4.08,-4.83,1.75,19.75,3.94,-172.32
-3.25,-5.04,2.22,21.64,-0.64,-169.15
-2.22,-5.59,2.05,22.74,2.65,-170.61
-1.86,-5.57,2.34,22.13,9.73,-169.03
-1.21,-5.98,2.33,23.35,4.48,-168.35
-0.1,-6.1,2.31,23.96,-2.41,-166.16
1.45,-6.56,2.17,26.15,4.85,-155.31
1.95,-6.49,2.45,26.34,21.01,-137.56
1.3,-6.7,2.39,24.26,23.81,-130.18
0.92,-6.95,2.21,23.77,1.37,-136.77
1.41,-7.11,1.75,19.26,-26.8,-141.16
2.89,-7.58,1.1,23.16,-31.49,-142.38
4.09,-7.48,1.91,26.46,-12.22,-129.27
3.02,-7.39,2.64,17.86,-23.02,-125.37
1.4,-7.55,1.85,9.87,-72.53,-148.35
2.09,-7.26,1.13,8.96,-105.64,-178.72
4.85,-7.29,1.57,6.88,-92.65,-188.54
7.35,-7.71,2.23,10.73,-55.88,-167.26
6.99,-7.72,2.84,7.01,-38.99,-147.62
7.43,-8.11,3.04,12.01,-32.53,-132.44
7.62,-8.14,3,9.32,-23.26,-120.92
8.52,-8.56,3.38,6.88,-17.53,-106.71
9.46,-8.97,3.05,11.95,-15.7,-90.43
9.73,-9.04,3.65,19.63,-6.98,-70.31
9.54,-9.02,3.77,20.79,-5.94,-53.9
8.98,-9.21,3.37,20.18,-7.04,-40.86
9.11,-9.14,3.78,14.08,1.62,-27.75
9.18,-9.06,3.82,11.58,16.5,-10.43
8.65,-9.29,3.78,10.6,24.85,3.72
7.39,-9.01,3.94,5.42,17.96,9.2
6.54,-8.93,3.81,-0.74,-5.58,9.45
6.57,-8.82,4.01,-10.07,-20.09,6.83
7.45,-8.78,3.39,-12.38,-11.13,14.81
7.68,-8.82,3.16,-9.64,7.96,23.53
7.48,-8.81,2.86,-5.25,17.59,31.16
7.21,-8.68,3.03,-4.34,14.97,37.62
7.37,-8.44,3.19,-6.65,15.03,45.36
7.65,-8.33,3.16,-10.86,17.96,57.31
7.18,-8.35,3.01,-12.26,17.59,65.18
7.47,-8.37,2.84,-9.88,11.74,67.98
7.97,-8.43,2.77,-5.86,19,77.74
8.16,-7.87,2.71,-4.64,44.79,95.18
7.02,-7.68,3.35,-13.79,52.59,116.7
6.34,-8.09,2.6,-11.41,45.7,121.76
6.31,-7.97,2.78,-4.76,38.51,131.4
5.93,-8.16,2.81,1.7,39.97,142.5
5.36,-8.12,2.98,6.76,60.89,146.46
4.54,-7.32,3.99,4.38,74.73,147.62
4.31,-7.07,4.34,-11.04,67.17,158.47
3.52,-7.04,3.91,-22.81,45.22,168.17
2.75,-7.19,3.32,-28.6,26.8,175.06
2.07,-7.28,2.91,-27.87,23.94,178.65
0.96,-7.03,2.75,-20.8,20.22,173.59
0.97,-6.84,2.65,-17.81,13.33,172.5
0.84,-6.38,2.86,-17.26,12.23,182.19
0.43,-6.19,2.68,-21.65,23.75,199.08
-1.28,-5.71,2.68,-21.9,19.12,208.65
-2.44,-4.98,2.71,-24.34,-3.08,200.24
-2.59,-4.86,2.32,-27.2,-19.6,187.5
-2.03,-4.61,1.77,-25.86,-18.2,191.64
-2.59,-4.26,1.64,-21.96,6.13,201.15
-4.1,-3.5,2.01,-20.43,20.34,207.56
-5.88,-3.41,1.22,-17.69,-2.47,195.54
-6.18,-3.18,1.12,-16.9,-31.13,178.23
-6.08,-3.14,1.17,-14.58,-40.7,160.85
-5.65,-3.16,1.07,-6.84,-16.86,157.44
-5.56,-3.28,0.91,7.13,15.22,162.8
-6.85,-3.34,1.54,16.52,17.9,165
-7.87,-2.66,1.59,18.84,-0.15,153.04
-8.58,-2.26,2.33,12.19,-16.31,141.89
-8.94,-2.53,1.99,10.54,-18.14,127.98
-8.8,-2.86,2.11,13.65,-23.5,117.01
-8.37,-2.87,2.21,16.94,-27.41,119.75
-9,-2.79,2.13,23.77,-14.84,125.24
-10.9,-2.26,2.4,28.77,8.51,116.95
-12.37,-2.07,2.87,26.7,15.15,96.03
-13.09,-2.45,2.87,22.07,-8.32,71.77
-13.12,-2.21,3.17,16.76,-35.03,51.89
-12.63,-2.56,3.28,15.36,-38.02,41.64
-12.1,-2.37,3.28,16.21,-13.87,35
-11.92,-2.48,3.45,18.23,16.68,27.74
-12.38,-2.53,3.5,18.84,26.92,17.13
-12.5,-2.52,3.55,14.75,9.24,5.49
-11.88,-2.55,3.38,9.69,-9.72,0.06
-11.38,-2.61,3.09,7.01,-18.02,-2.99
-10.73,-2.46,3.16,5.42,-9.05,-8.72
-9.92,-2.63,2.91,3.84,1.37,-11.28
-9.59,-2.63,2.93,5.3,6.25,-14.15
-9.16,-2.62,2.89,3.29,4.91,-15.73
-8.73,-2.84,2.82,2.8,1.37,-13.9
-8.46,-2.83,2.75,3.41,3.08,-11.83
-8.44,-2.85,2.71,2.43,5.46,-13.72
-8.3,-2.8,2.95,3.59,5.7,-15.12
-8.05,-2.77,3.13,1.58,4.48,-12.93
-7.86,-3.03,2.94,0.73,5.4,-10.49
-8.04,-3.03,2.82,1.09,7.41,-11.1
-8.2,-3.13,2.92,3.84,5.03,-14.51
-7.87,-3.15,2.96,2.43,3.75,-14.88
-7.74,-3.3,3.04,0.97,5.95,-12.44
-7.8,-3.34,3.17,0.36,6.74,-8.66
-7.97,-3.32,3.23,-1.84,3.87,-7.93
-8.15,-3.37,2.95,-2.38,-0.03,-10.43
-7.93,-3.48,2.86,-1.96,1.92,-12.08
-7.97,-3.43,2.97,0.97,6.62,-11.65
-8.74,-4.62,3.11,3.65,6.92,1.46
-7.75,-4.38,2.62,8.16,7.11,3.17
-7.9,-4.18,2.62,6.15,6.62,4.63
-8.05,-4.13,2.76,3.71,6.44,1.4
-7.97,-4.04,2.78,-0.74,4.85,-0.12
-8.2,-3.92,2.92,-9.64,1.31,-3.54
-8.27,-4,2.93,-17.99,-5.33,-6.1
-8.3,-4.19,2.73,-21.16,-6.92,-10.98
-8.09,-4,2.54,-19.46,-4.6,-12.08
-7.87,-3.87,2.56,-18.91,-2.95,-3.84
-8.14,-4.12,2.69,-21.41,-0.21,2.92
-8.47,-4.32,2.48,-21.04,2.35,6.34
-8.8,-4.43,2.44,-20.92,3.45,-0.92
-8.55,-4.3,2.38,-17.57,9.73,-4.09
-8.55,-4.52,2.31,-12.87,12.35,-6.04
-8.64,-4.39,2.23,-6.9,13.87,-5.8
-8.97,-4.24,2.33,-4.64,16.92,-5.92
-9.39,-4.05,2.18,-5.07,21.25,-10.8
-9.8,-3.98,2.25,-8.6,19.79,-14.39
-10.08,-4.08,2.12,-9.58,16.19,-21.83
-10.61,-4.12,2.18,-10.62,6.98,-31.65
-10.88,-4.09,1.79,-12.38,-0.09,-42.99
-10.81,-4.13,1.23,-11.04,1.56,-57.56
-10.73,-4,0.98,-5.49,11.8,-70.18
-10.89,-3.88,0.93,-0.31,21.37,-80.37
-11.1,-3.78,1,1.15,12.35,-95.12
-10.87,-3.94,0.89,1.76,-6.98,-110.43
-10.15,-4.09,0.7,6.52,-15.94,-127.14
-9.36,-4,1.07,9.08,-12.04,-135.73
-9.04,-4.07,1.45,8.16,-8.38,-145.37
-8.65,-4.09,1.55,10.97,-1.61,-152.74
-8.21,-4.18,1.57,16.03,-2.35,-160.37
-7.41,-4.2,1.45,18.77,-5.03,-163.11
-6.81,-4.51,1.63,21.82,-14.05,-161.89
-6.28,-4.63,1.93,24.26,-14.72,-169.94
-5.64,-4.42,1.82,24.57,-11.31,-182.99
-4.91,-4.66,1.91,21.46,-10.45,-189.7
-3.99,-5.07,1.68,21.15,-18.44,-193.29
-2.87,-5,1.75,24.44,-24.78,-191.28
-2.19,-5.15,2.42,21.58,-33.99,-180.43
-1.9,-5.64,2.19,23.53,-45.21,-175.61
-1.43,-5.8,2.19,27.01,-61.43,-174.03
-0.41,-5.6,2.47,22.92,-74.72,-172.13
0.86,-5.93,2.94,12.74,-77.16,-166.65
2.06,-6.35,2.76,11.09,-60.39,-153.17
3.15,-6.73,2.5,17.98,-24.84,-144.27
3.34,-6.79,2.42,27.25,-1.98,-132.44
3.27,-6.81,2.82,30.3,3.39,-123.84
3.29,-7.25,2.96,28.77,-8.26,-119.21
3.77,-7.84,2.69,25.36,-11.86,-120.85
4.41,-7.91,2.77,28.29,-6.25,-118.66
4.52,-8.09,3.09,41.09,6.19,-112.81
4.2,-7.87,3.36,47.49,3.51,-111.4
4.53,-8.44,3.82,49.02,-16.92,-110.12
5.61,-8.15,4.49,44.26,-23.75,-103.78
6.36,-8.39,4.83,39.44,-21.19,-94.76
6.83,-8.58,5.16,32.92,-10.39,-84.39
6.77,-8.85,5.53,28.47,-9.42,-78.11
6.86,-9.15,5.5,21.4,-20.39,-67.68
6.65,-9.35,5.35,18.29,-33.2,-60.06
7.34,-9.02,5.53,11.64,-30.09,-49.64
7.67,-9.15,5.67,7.25,-13.2,-36.04
7.6,-9.27,5.52,3.23,-0.39,-24.15
7.26,-9.26,5.47,1.58,-0.03,-12.32
6.76,-9.24,5.23,-1.47,-1.61,-4.45
6.72,-9.16,4.98,-0.37,-8.93,-1.77
6.75,-8.79,5.11,-5.92,-8.63,4.57
7.33,-8.74,4.77,-10.92,-1.25,14.45
7.61,-8.81,4.76,-10.25,11.86,30.91
7.28,-8.85,5.16,-14.7,19.06,44.88
7,-8.71,4.92,-17.87,19.85,55.36
6.98,-8.7,4.86,-18.66,19.36,61.89
7.36,-8.59,4.85,-18.42,29,71.34
7.38,-8.47,4.7,-17.63,41.37,86.4
7,-8.23,4.46,-15.43,55.03,99.33
6.58,-7.83,4.44,-14.21,69.24,112.8
6.1,-7.64,4.22,-15.74,80.4,122.68
5.55,-7.11,4.22,-20.43,77.29,131.09
5.08,-6.74,4.43,-27.57,56.01,143.11
4.85,-7.12,3.79,-26.53,48.81,151.64
4.43,-6.69,3.71,-23.36,54.61,165.3
3.67,-6.6,3.52,-16.71,67.23,176.83
2.65,-5.77,3.57,-17.99,69.67,183.59
1.96,-5.55,3.85,-22.81,59.73,192.19
1.61,-5.31,3.51,-30.13,54.48,199.2
1.18,-5.11,3.35,-35.62,57.59,212.19
0.16,-4.9,2.4,-34.76,77.11,225.48
-1.07,-4.51,2.21,-25.25,101.74,228.41
-2.03,-3.71,1.9,-22.2,116.07,231.82
-2.76,-3.17,1.5,-32.93,119.91,238.96
-3.64,-2.77,0.56,-39.76,128.75,251.28
-5.53,-2.43,0.17,-42.51,114.06,251.76
-6.69,-2.46,-0.19,-42.38,83.63,229.57
-8.36,-2.35,1.12,-48.54,49.42,207.5
-7.16,-2.29,0.25,-46.04,43.02,200.54
-7.81,-1.73,0.21,-40.43,52.84,200.18
-8.77,-1.67,1.26,-35.68,35.22,191.34
-9.86,-1.44,1.25,-40.86,-6.8,175.18
-10.63,-1.13,1.25,-45.01,-29.97,148.29
-10.26,-1.23,1.1,-42.44,-30.27,123.35
-9.58,-1.41,1.15,-40.07,-28.5,111.28
-9.26,-1.55,1.33,-34.21,-26.19,114.33
-10.14,-1.17,1.14,-36.23,-11.61,113.05
-12.02,-1.1,0.93,-29.76,-5.09,93.53
-12.36,-0.94,0.88,-25.74,-18.26,73.11
-12.16,-0.81,0.97,-23.48,-33.81,58.84
-11.87,-1.09,0.93,-21.1,-36.49,55.18
-12.22,-1.12,1.17,-20.62,-29.54,54.27
-12.64,-1.09,1.02,-14.46,-19.84,47.01
-13,-1.07,1.05,-11.47,-22.65,32.68
-12.79,-1.24,0.8,-7.45,-28.08,16.83
-12.42,-1.16,1.03,-4.03,-28.26,3.47
-11.99,-1.42,1.1,0.3,-22.41,-1.47
-11.42,-1.43,1.48,-0.07,-15.7,-1.71
-11.47,-1.49,1.8,-4.58,-16.98,-1.4
-11.27,-1.63,1.74,-4.15,-17.22,-9.58
-10.78,-1.77,1.49,-1.65,-15.64,-18.6
-10.23,-1.85,1.37,0.18,-13.69,-23.6
-9.62,-1.85,1.63,0.42,-11.67,-22.93
-9.31,-1.91,1.68,-2.38,-9.85,-18.66
-9.2,-2.12,1.54,0.05,-3.5,-19.27
-9.08,-2.11,1.56,2.19,-3.26,-18.78
-8.85,-2.23,1.62,3.96,-5.52,-20.31
-8.66,-2.12,1.6,5.85,-2.77,-21.83
-8.55,-2.22,1.99,4.63,-2.16,-19.64
-8.24,-2.33,1.84,4.69,-1.43,-14.45
-8.17,-2.41,1.9,6.09,1.37,-8.84
-8.44,-2.43,2.17,6.15,1.13,-9.7
-8.49,-2.62,2.11,6.52,0.03,-10.49
-8.58,-2.39,2.33,5.73,-0.45,-11.83
-8.6,-2.69,2.3,5.24,-4.97,-10.61
-8.55,-2.71,2.1,5.24,-9.42,-10.06
-8.35,-2.71,2.4,5.3,-4.85,-9.7
-8.16,-2.89,2.31,6.46,1.74,-6.77
-8.58,-2.71,2.64,5.36,3.26,-7.99
-8.78,-2.47,2.63,2.74,-1.8,-10.37
-8.56,-2.81,2.39,2.13,-11.19,-12.08
-8.41,-2.83,2.44,2.62,-10.58,-9.88
-8.23,-2.85,2.39,3.04,-8.14,-8.3
-8.13,-2.77,2.44,3.23,0.64,-6.95
-6.75,-11.26,1.47,30.42,24.97,-3.3
-8.52,-3.68,1.8,4.26,13.2,0.55
-8.69,-3.61,1.96,6.27,13.26,-2.2
-8.94,-3.52,2.31,-0.8,10.58,-5.19
-8.99,-3.57,2.31,-8.66,4.55,-9.88
-9.15,-3.5,2.41,-18.73,-0.15,-15.55
-9.27,-3.73,2.15,-24.27,0.15,-19.82
-9.78,-3.99,2.15,-23.12,4.12,-28.72
-10.4,-3.9,2.16,-23.73,3.87,-46.83
-10.43,-3.22,1.65,-22.57,-6.61,-53.23
-10.06,-5.03,1.17,108.77,1.13,-61.83
-10.84,-4.01,2.12,-23.05,-23.69,-51.77
-10.85,-3.87,1.58,-20.8,-21.67,-54.76
-10.61,-4.29,1.64,-10.92,-17.59,-66.83
-10.43,-4.18,1.81,-6.29,-9.42,-77.44
-10.35,-4.06,1.74,-3.91,-6.67,-83.42
-10.22,-4.08,1.51,-9.64,-9.78,-93.23
-9.62,-4.29,1.52,-8.85,-14.17,-96.28
-9.19,-4.55,1.31,-8.79,-4.3,-99.7
-8.93,-4.58,1.06,-4.58,10.22,-105.12
-8.81,-4.7,1.13,2.43,19.61,-113.6
-8.71,-4.71,1.27,5.91,15.28,-118.6
-8.59,-4.67,1.04,3.16,-2.41,-127.44
-7.94,-4.75,0.86,5.05,-4.97,-135.55
-7.4,-4.89,0.77,6.09,6.44,-143.05
-7.18,-5.02,0.71,9.38,11.68,-149.33
-7.04,-5.32,0.94,8.77,6.13,-156.77
-6.57,-5.43,1.26,10.3,-13.93,-163.54
-5.7,-5.3,1,14.08,-30.27,-168.54
-4.87,-5.12,0.95,19.2,-36.25,-168.35
-4.45,-5.3,0.91,21.46,-34.91,-172.99
-3.6,-5.29,0.73,24.32,-32.83,-175.37
-2.82,-5.48,1,24.38,-41.92,-176.89
-2.26,-5.47,1.06,16.21,-68.38,-174.63
-1.09,-5.92,0.33,22.74,-80.94,-171.46
0.01,-6.14,0.7,32.13,-74.84,-162.62
0.17,-6.15,1.57,39.81,-81.86,-155.43
0.11,-5.91,2.55,34.02,-115.21,-154.57
1.58,-6.33,2.73,23.16,-146.67,-163.42
3.78,-6.59,2.98,14.14,-140.33,-156.83
4.35,-6.77,2.51,13.04,-116.43,-145.12
3.92,-6.87,2.28,7.62,-98.2,-148.6
4.97,-7.01,2.2,0.85,-76.8,-158.66
6.77,-7.48,2.59,-4.09,-47.77,-144.64
6.76,-8.14,2.46,-1.59,-44.84,-121.77
6.14,-8.37,2.12,4.87,-40.76,-107.07
5.57,-7.96,2.22,5.36,-30.03,-106.65
5.71,-7.89,1.9,4.99,-12.65,-105.79
6.16,-8.07,2.33,7.68,-6.67,-105.86
7.05,-8.37,2.36,14.38,-9.6,-96.59
7.43,-8.51,3.09,18.35,-12.22,-83.05
7.64,-8.64,3.33,17.31,-11.25,-72.5
7.8,-8.76,3.64,17.49,4.18,-64.03
8.07,-8.97,4.03,15.36,18.57,-61.22
8.09,-9.12,3.94,14.14,14.42,-51.16
8.47,-9.06,4.13,10.73,10.52,-41.83
8.8,-9.2,4.37,7.25,11.19,-24.45
8.49,-9.27,4.49,3.53,16.01,-11.89
8.44,-9.53,4.17,-0.92,14.91,-5.73
8.54,-9.31,3.83,-3.42,10.76,1.1
8.79,-9.3,3.55,-2.14,12.17,13.29
9.03,-9.2,3.92,-2.81,15.95,29.27
9.03,-8.93,3.73,-5.37,25.83,46.4
8.85,-9.07,3.56,-9.27,32.04,62.92
8.62,-9.08,3.29,-3.73,34.54,76.64
7.84,-9.23,3.73,0.91,17.41,82.86
7.44,-9.54,3.95,8.71,-18.93,82.25
8.24,-9.07,3.69,14.63,-33.81,85.24
9.25,-8.46,3.6,15.85,0.83,104.81
9.54,-7.53,4.38,5.24,46.98,138.11
8.13,-7.31,4.78,-14.46,66.31,175.61
6.74,-7.71,3.79,-20.49,69.36,193.17
4.93,-7.64,2.96,-13.66,74.48,198.04
3.65,-7.64,2.41,4.63,80.95,187.68
2.68,-7.48,2.34,16.46,89.54,170.18
2.46,-5.66,3.61,-0.8,95.15,175.67
1.63,-5.61,4.04,-18.54,86.86,187.92
0.68,-6.03,3.02,-27.87,79.54,189.63
0.21,-6.11,2.06,-27.81,72.29,189.57
-0.31,-6.34,1.62,-19.21,81.13,182.19
-1.12,-6.24,1.44,-4.95,82.78,168.17
-1.53,-5.69,1.73,-0.19,72.65,162.43
-1.72,-4.85,1.87,-9.03,54.67,165.12
-1.85,-4.64,1.89,-17.69,36.44,176.09
-2.18,-4.78,1.59,-15.49,24.42,182.92
-2.46,-4.54,1.57,-11.59,11.19,197.62
-3.05,-4.09,1.28,-5.62,3.08,221.03
-4.72,-3.88,0.78,4.57,-3.93,229.02
-4.93,-3.65,1.54,24.99,-16.06,220.85
-4.83,-3.41,1.41,30.12,-20.88,207.98
-4.87,-2.42,2.25,27.19,2.59,197.43
-5.63,-1.87,1.9,20.79,39.91,198.04
-7.41,-1.84,1.62,30.85,51.86,196.64
-8.96,-2.12,1.51,34.69,38.14,172.86
-9.47,-1.82,1.73,37.01,11.68,134.14
-8.7,-1.24,2.01,32.55,3.75,111.89
